carteira,tipo,coluna_retorno,n_ativos_universo,n_ativos_validos,n_ativos_com_peso,periodo_inicio,periodo_fim,n_meses,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,ativos_universo,ativos_validos
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,25,25,25,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,26,26,26,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,26,26,26,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,26,26,26,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,26,26,26,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,25,25,25,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,25,25,25,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,27,27,27,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,27,27,27,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,2,2,2,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,VEA | IEMG,VEA | IEMG
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,2,2,2,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,VEA | IEMG,VEA | IEMG
etfs_europa,max_sharpe,etfs_europa__max_sharpe,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,EWG | EWU | FEZ,EWG | EWU | FEZ
etfs_europa,min_vol,etfs_europa__min_vol,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,EWG | EWU | FEZ,EWG | EWU | FEZ
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,22,22,22,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SPY | VEA | VT | XLE,ACWI | ARGT | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SPY | VEA | VT | XLE
etfs_exterior,min_vol,etfs_exterior__min_vol,22,22,22,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SPY | VEA | VT | XLE,ACWI | ARGT | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SPY | VEA | VT | XLE
etfs_global,max_sharpe,etfs_global__max_sharpe,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,ACWI | VEA | VT,ACWI | VEA | VT
etfs_global,min_vol,etfs_global__min_vol,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,ACWI | VEA | VT,ACWI | VEA | VT
etfs_latam,max_sharpe,etfs_latam__max_sharpe,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,ARGT | ECH | EWW,ARGT | ECH | EWW
etfs_latam,min_vol,etfs_latam__min_vol,3,3,3,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,ARGT | ECH | EWW,ARGT | ECH | EWW
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,2,2,2,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,ENZL | EWA,ENZL | EWA
etfs_oceania,min_vol,etfs_oceania__min_vol,2,2,2,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,ENZL | EWA,ENZL | EWA
etfs_todos,max_sharpe,etfs_todos__max_sharpe,24,24,24,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE
etfs_todos,min_vol,etfs_todos__min_vol,24,24,24,2015-02-28,2026-04-30,135,0.02,0.1,0.02,0.1,nenhum,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE
